Item,Disaster Type,Month,gglCountry,PersonsPerItem
MosquitoNetGen,DEFAULT,-1,Namibia,2.5
MosquitoNetGen,DEFAULT,-1,Niger,2.5
MosquitoNetGen,DEFAULT,-1,Nigeria,2.5
MosquitoNetGen,DEFAULT,-1,Rwanda,2.5
MosquitoNetGen,DEFAULT,-1,Senegal,2.5
MosquitoNetGen,DEFAULT,-1,Seychelles,1.00E+15
MosquitoNetGen,DEFAULT,-1,Sierra Leone,2.5
MosquitoNetGen,DEFAULT,-1,Somalia,2.5
MosquitoNetGen,DEFAULT,-1,South Africa,2.5
MosquitoNetGen,DEFAULT,-1,Sudan,2.5
MosquitoNetGen,DEFAULT,-1,Swaziland,2.5
MosquitoNetGen,DEFAULT,-1,Togo,2.5
MosquitoNetGen,DEFAULT,-1,Tunisia,1.00E+15
MosquitoNetGen,DEFAULT,-1,Uganda,2.5
MosquitoNetGen,DEFAULT,-1,Zambia,2.5
MosquitoNetGen,DEFAULT,-1,Zimbabwe,2.5
MosquitoNetGen,DEFAULT,-1,Taiwan,1.00E+15
MosquitoNetGen,DEFAULT,-1,Macau,1.00E+15
MosquitoNetGen,DEFAULT,-1,North Korea,2.5
MosquitoNetGen,DEFAULT,-1,Vietnam,2.5
MosquitoNetGen,DEFAULT,-1,Timor-Leste,2.5
MosquitoNetGen,DEFAULT,-1,Syria,1.00E+15
MosquitoNetGen,DEFAULT,-1,Brunei,1.00E+15
MosquitoNetGen,DEFAULT,-1,Iran,2.5
MosquitoNetGen,DEFAULT,-1,South Korea,2.5
MosquitoNetGen,DEFAULT,-1,Israel,1.00E+15
MosquitoNetGen,DEFAULT,-1,Yemen,2.5
MosquitoNetGen,DEFAULT,-1,Hong Kong,1.00E+15
MosquitoNetGen,DEFAULT,-1,Laos,2.5
MosquitoNetGen,DEFAULT,-1,China,2.5
MosquitoNetGen,DEFAULT,-1,Russia,1.00E+15
MosquitoNetGen,DEFAULT,-1,Afghanistan,2.5
MosquitoNetGen,DEFAULT,-1,Bahrain,1.00E+15
MosquitoNetGen,DEFAULT,-1,Bangladesh,2.5
MosquitoNetGen,DEFAULT,-1,Bhutan,2.5
MosquitoNetGen,DEFAULT,-1,Cambodia,2.5
MosquitoNetGen,DEFAULT,-1,India,2.5
MosquitoNetGen,DEFAULT,-1,Indonesia,2.5
MosquitoNetGen,DEFAULT,-1,Iraq,1.00E+15
MosquitoNetGen,DEFAULT,-1,Japan,1.00E+15
MosquitoNetGen,DEFAULT,-1,Jordan,1.00E+15
MosquitoNetGen,DEFAULT,-1,Kazakhstan,1.00E+15
MosquitoNetGen,DEFAULT,-1,Kuwait,1.00E+15
MosquitoNetGen,DEFAULT,-1,Kyrgyzstan,1.00E+15
MosquitoNetGen,DEFAULT,-1,Lebanon,1.00E+15
MosquitoNetGen,DEFAULT,-1,Malaysia,2.5
MosquitoNetGen,DEFAULT,-1,Maldives,1.00E+15
MosquitoNetGen,DEFAULT,-1,Mongolia,1.00E+15
MosquitoNetGen,DEFAULT,-1,Republic of the Union of Myanmar,2.5
MosquitoNetGen,DEFAULT,-1,Nepal,2.5
MosquitoNetGen,DEFAULT,-1,Oman,1.00E+15
MosquitoNetGen,DEFAULT,-1,Pakistan,2.5
MosquitoNetGen,DEFAULT,-1,Philippines,2.5
MosquitoNetGen,DEFAULT,-1,Qatar,1.00E+15
MosquitoNetGen,DEFAULT,-1,Saudi Arabia,2.5
MosquitoNetGen,DEFAULT,-1,Singapore,1.00E+15
MosquitoNetGen,DEFAULT,-1,Sri Lanka,2.5
MosquitoNetGen,DEFAULT,-1,Tajikistan,2.5
MosquitoNetGen,DEFAULT,-1,Thailand,2.5
MosquitoNetGen,DEFAULT,-1,Turkey,2.5
MosquitoNetGen,DEFAULT,-1,Turkmenistan,1.00E+15
MosquitoNetGen,DEFAULT,-1,United Arab Emirates,1.00E+15
MosquitoNetGen,DEFAULT,-1,Uzbekistan,1.00E+15
MosquitoNetGen,DEFAULT,-1,Germany,1.00E+15
MosquitoNetGen,DEFAULT,-1,Portugal,1.00E+15
MosquitoNetGen,DEFAULT,-1,Czech Republic,1.00E+15
MosquitoNetGen,DEFAULT,-1,Moldova,1.00E+15
MosquitoNetGen,DEFAULT,-1,Macedonia (FYROM),1.00E+15
MosquitoNetGen,DEFAULT,-1,Bosnia and Herzegovina,1.00E+15
MosquitoNetGen,DEFAULT,-1,Spain,1.00E+15
MosquitoNetGen,DEFAULT,-1,United Kingdom,1.00E+15
MosquitoNetGen,DEFAULT,-1,Serbia,1.00E+15
MosquitoNetGen,DEFAULT,-1,Albania,1.00E+15
