Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Tokelau,Tokelau,-9.2002,-171.8484,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Solomon Islands,"Honiara, Solomon Islands",-9.4456381,159.9728999,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Micronesia,"Palikir, Pohnpei, Micronesia",6.917222,158.158889,0,0
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,American Samoa,"Pago Pago, Eastern, American Samoa",-14.279444,-170.700556,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Australia,"Canberra ACT 2601, Australia",-35.2819998,149.1286843,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Fiji,"Suva, Fiji",-18.1416,178.4419,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,French Polynesia,"Pape'ete, French Polynesia",-17.535,-149.5696,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Guam,"Hagatna, Guam",13.4708908,144.7512782,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Indonesia,"Jakarta, Indonesia",-6.2087634,106.845599,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Kiribati,"Bairiki, Kiribati",1.3290526,172.9790528,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,New Caledonia,"Noumea, New Caledonia",-22.2758,166.458,1000000,1000000
